({'Class Name: democrat', 'handicapped-infants: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9102564102564102')
({'superfund-right-to-sue: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat'}, 'confidence: 0.9476744186046512')
({'Class Name: democrat', 'crime: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9461077844311377')
({'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat'}, 'confidence: 1.0')
({'Class Name: democrat', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.945')
({'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes'}, {'Class Name: democrat'}, 'confidence: 0.9')
({'mx-missile: yes', 'anti-satellite-test-ban: yes'}, {'Class Name: democrat'}, 'confidence: 0.9175824175824175')
({'duty-free-exports: yes', 'anti-satellite-test-ban: yes'}, {'Class Name: democrat'}, 'confidence: 0.9310344827586207')
({'Class Name: democrat', 'anti-satellite-test-ban: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.975')
({'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'Class Name: democrat'}, 'confidence: 0.9898477157360406')
({'Class Name: democrat', 'anti-satellite-test-ban: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.91')
({'el-salvador-aid: no', 'Class Name: democrat'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.91')
({'el-salvador-aid: no', 'anti-satellite-test-ban: yes'}, {'Class Name: democrat'}, 'confidence: 0.9680851063829787')
({'anti-satellite-test-ban: yes', 'education-spending: no'}, {'Class Name: democrat'}, 'confidence: 0.9347826086956522')
({'superfund-right-to-sue: no', 'anti-satellite-test-ban: yes'}, {'Class Name: democrat'}, 'confidence: 0.9235294117647059')
({'crime: no', 'anti-satellite-test-ban: yes'}, {'Class Name: democrat'}, 'confidence: 1.0')
({'mx-missile: yes', 'Class Name: democrat'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9521276595744681')
({'aid-to-nicaraguan-contras: yes', 'mx-missile: yes'}, {'Class Name: democrat'}, 'confidence: 0.9322916666666666')
({'duty-free-exports: yes', 'Class Name: democrat'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.90625')
({'aid-to-nicaraguan-contras: yes', 'duty-free-exports: yes'}, {'Class Name: democrat'}, 'confidence: 0.9602649006622517')
({'aid-to-nicaraguan-contras: yes', 'Class Name: democrat'}, {'physician-fee-freeze: no'}, 'confidence: 0.963302752293578')
({'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, {'Class Name: democrat'}, 'confidence: 0.995260663507109')
({'aid-to-nicaraguan-contras: yes', 'Class Name: democrat'}, {'el-salvador-aid: no'}, 'confidence: 0.9036697247706422')
({'el-salvador-aid: no', 'Class Name: democrat'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.985')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'Class Name: democrat'}, 'confidence: 0.9656862745098039')
({'Class Name: democrat', 'religious-groups-in-schools: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9925925925925926')
({'aid-to-nicaraguan-contras: yes', 'religious-groups-in-schools: no'}, {'Class Name: democrat'}, 'confidence: 0.9436619718309859')
({'aid-to-nicaraguan-contras: yes', 'education-spending: no'}, {'Class Name: democrat'}, 'confidence: 0.9587628865979382')
({'superfund-right-to-sue: no', 'Class Name: democrat'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9329608938547486')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes'}, {'Class Name: democrat'}, 'confidence: 0.9488636363636364')
({'Class Name: democrat', 'crime: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9520958083832335')
({'aid-to-nicaraguan-contras: yes', 'crime: no'}, {'Class Name: democrat'}, 'confidence: 0.99375')
({'mx-missile: yes', 'Class Name: democrat'}, {'physician-fee-freeze: no'}, 'confidence: 0.9521276595744681')
({'mx-missile: yes', 'physician-fee-freeze: no'}, {'Class Name: democrat'}, 'confidence: 0.9944444444444445')
({'mx-missile: yes', 'Class Name: democrat'}, {'el-salvador-aid: no'}, 'confidence: 0.9095744680851063')
({'mx-missile: yes', 'el-salvador-aid: no'}, {'Class Name: democrat'}, 'confidence: 0.9553072625698324')
({'mx-missile: yes', 'education-spending: no'}, {'Class Name: democrat'}, 'confidence: 0.9590643274853801')
({'superfund-right-to-sue: no', 'mx-missile: yes'}, {'Class Name: democrat'}, 'confidence: 0.959731543624161')
({'mx-missile: yes', 'crime: no'}, {'Class Name: democrat'}, 'confidence: 0.9927007299270073')
({'duty-free-exports: yes', 'Class Name: democrat'}, {'physician-fee-freeze: no'}, 'confidence: 0.9625')
({'duty-free-exports: yes', 'physician-fee-freeze: no'}, {'Class Name: democrat'}, 'confidence: 0.9935483870967742')
({'duty-free-exports: yes', 'el-salvador-aid: no'}, {'Class Name: democrat'}, 'confidence: 0.9858156028368794')
({'duty-free-exports: yes', 'education-spending: no'}, {'Class Name: democrat'}, 'confidence: 0.9645390070921985')
({'Class Name: democrat', 'export-administration-act-south-africa: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9479768786127167')
({'physician-fee-freeze: no', 'export-administration-act-south-africa: yes'}, {'Class Name: democrat'}, 'confidence: 0.9879518072289156')
({'el-salvador-aid: no', 'export-administration-act-south-africa: yes'}, {'Class Name: democrat'}, 'confidence: 0.9517241379310345')
({'el-salvador-aid: no', 'Class Name: democrat'}, {'physician-fee-freeze: no'}, 'confidence: 0.97')
({'el-salvador-aid: no', 'physician-fee-freeze: no'}, {'Class Name: democrat'}, 'confidence: 0.9948717948717949')
({'Class Name: democrat', 'religious-groups-in-schools: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9851851851851852')
({'physician-fee-freeze: no', 'religious-groups-in-schools: no'}, {'Class Name: democrat'}, 'confidence: 0.9925373134328358')
({'Class Name: democrat', 'education-spending: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9436619718309859')
({'physician-fee-freeze: no', 'education-spending: no'}, {'Class Name: democrat'}, 'confidence: 0.995049504950495')
({'superfund-right-to-sue: no', 'Class Name: democrat'}, {'physician-fee-freeze: no'}, 'confidence: 0.9832402234636871')
({'superfund-right-to-sue: no', 'physician-fee-freeze: no'}, {'Class Name: democrat'}, 'confidence: 0.9887640449438202')
({'Class Name: democrat', 'crime: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9760479041916168')
({'crime: no', 'physician-fee-freeze: no'}, {'Class Name: democrat'}, 'confidence: 1.0')
({'Class Name: democrat', 'religious-groups-in-schools: no'}, {'el-salvador-aid: no'}, 'confidence: 0.9777777777777777')
({'el-salvador-aid: no', 'religious-groups-in-schools: no'}, {'Class Name: democrat'}, 'confidence: 0.9635036496350365')
({'el-salvador-aid: no', 'education-spending: no'}, {'Class Name: democrat'}, 'confidence: 0.9717514124293786')
({'superfund-right-to-sue: no', 'el-salvador-aid: no'}, {'Class Name: democrat'}, 'confidence: 0.9693251533742331')
({'Class Name: democrat', 'crime: no'}, {'el-salvador-aid: no'}, 'confidence: 0.9101796407185628')
({'el-salvador-aid: no', 'crime: no'}, {'Class Name: democrat'}, 'confidence: 0.9934640522875817')
({'superfund-right-to-sue: no', 'education-spending: no'}, {'Class Name: democrat'}, 'confidence: 0.9386503067484663')
({'crime: no', 'education-spending: no'}, {'Class Name: democrat'}, 'confidence: 0.9933774834437086')
({'superfund-right-to-sue: no', 'crime: no'}, {'Class Name: democrat'}, 'confidence: 1.0')
({'handicapped-infants: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9072847682119205')
({'aid-to-nicaraguan-contras: yes', 'handicapped-infants: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9383561643835616')
({'handicapped-infants: yes', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9205298013245033')
({'physician-fee-freeze: no', 'handicapped-infants: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9266666666666666')
({'aid-to-nicaraguan-contras: yes', 'handicapped-infants: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.910958904109589')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9303482587064676')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9054726368159204')
({'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9238578680203046')
({'el-salvador-aid: no', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9095744680851063')
({'el-salvador-aid: no', 'anti-satellite-test-ban: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9095744680851063')
({'superfund-right-to-sue: no', 'anti-satellite-test-ban: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9')
({'crime: no', 'anti-satellite-test-ban: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9527027027027027')
({'mx-missile: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.95')
({'duty-free-exports: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9139072847682119')
({'aid-to-nicaraguan-contras: yes', 'duty-free-exports: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9139072847682119')
({'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9209302325581395')
({'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9041095890410958')
({'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9383886255924171')
({'el-salvador-aid: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9893617021276596')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9117647058823529')
({'aid-to-nicaraguan-contras: yes', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9226804123711341')
({'superfund-right-to-sue: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9593023255813954')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9375')
({'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9620253164556962')
({'aid-to-nicaraguan-contras: yes', 'crime: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.95')
({'mx-missile: yes', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9277777777777778')
({'mx-missile: yes', 'physician-fee-freeze: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9277777777777778')
({'mx-missile: yes', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9064327485380117')
({'superfund-right-to-sue: no', 'mx-missile: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9194630872483222')
({'duty-free-exports: yes', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9271523178807947')
({'duty-free-exports: yes', 'physician-fee-freeze: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9032258064516129')
({'el-salvador-aid: no', 'export-administration-act-south-africa: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9103448275862069')
({'el-salvador-aid: no', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9627659574468085')
({'el-salvador-aid: no', 'physician-fee-freeze: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9282051282051282')
({'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9253731343283582')
({'physician-fee-freeze: no', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9207920792079208')
({'superfund-right-to-sue: no', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9418604651162791')
({'superfund-right-to-sue: no', 'physician-fee-freeze: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9101123595505618')
({'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9873417721518988')
({'crime: no', 'physician-fee-freeze: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9570552147239264')
({'el-salvador-aid: no', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9096045197740112')
({'superfund-right-to-sue: no', 'el-salvador-aid: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9263803680981595')
({'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9113924050632911')
({'el-salvador-aid: no', 'crime: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9411764705882353')
({'crime: no', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9337748344370861')
({'el-salvador-aid: yes', 'physician-fee-freeze: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9285714285714286')
({'religious-groups-in-schools: yes', 'physician-fee-freeze: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.975')
({'physician-fee-freeze: yes', 'education-spending: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9787234042553191')
({'el-salvador-aid: yes', 'education-spending: yes'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9261744966442953')
({'physician-fee-freeze: yes', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9724137931034482')
({'el-salvador-aid: yes', 'physician-fee-freeze: yes'}, {'crime: yes'}, 'confidence: 0.9523809523809523')
({'physician-fee-freeze: yes', 'crime: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9523809523809523')
({'el-salvador-aid: yes', 'physician-fee-freeze: yes'}, {'Class Name: republican'}, 'confidence: 0.9285714285714286')
({'Class Name: republican', 'physician-fee-freeze: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9570552147239264')
({'el-salvador-aid: yes', 'Class Name: republican'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9936305732484076')
({'handicapped-infants: no', 'physician-fee-freeze: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9647887323943662')
({'physician-fee-freeze: yes', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9657534246575342')
({'el-salvador-aid: yes', 'adoption-of-the-budget-resolution: no'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9215686274509803')
({'physician-fee-freeze: yes', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9850746268656716')
({'aid-to-nicaraguan-contras: no', 'physician-fee-freeze: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.993006993006993')
({'el-salvador-aid: yes', 'physician-fee-freeze: yes'}, {'mx-missile: no'}, 'confidence: 0.9107142857142857')
({'mx-missile: no', 'physician-fee-freeze: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9935064935064936')
({'physician-fee-freeze: yes', 'synfuels-corporation-cutback: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9565217391304348')
({'el-salvador-aid: yes', 'synfuels-corporation-cutback: no'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9103448275862069')
({'duty-free-exports: no', 'physician-fee-freeze: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.96')
({'physician-fee-freeze: yes', 'education-spending: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9432624113475178')
({'physician-fee-freeze: yes', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9379310344827586')
({'religious-groups-in-schools: yes', 'physician-fee-freeze: yes'}, {'crime: yes'}, 'confidence: 0.94375')
({'religious-groups-in-schools: yes', 'physician-fee-freeze: yes'}, {'Class Name: republican'}, 'confidence: 0.91875')
({'Class Name: republican', 'physician-fee-freeze: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.901840490797546')
({'religious-groups-in-schools: yes', 'Class Name: republican'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9865771812080537')
({'handicapped-infants: no', 'physician-fee-freeze: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9295774647887324')
({'physician-fee-freeze: yes', 'adoption-of-the-budget-resolution: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9178082191780822')
({'aid-to-nicaraguan-contras: no', 'physician-fee-freeze: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9370629370629371')
({'religious-groups-in-schools: yes', 'physician-fee-freeze: yes'}, {'mx-missile: no'}, 'confidence: 0.9125')
({'mx-missile: no', 'physician-fee-freeze: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.948051948051948')
({'duty-free-exports: no', 'physician-fee-freeze: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.92')
({'physician-fee-freeze: yes', 'education-spending: yes'}, {'crime: yes'}, 'confidence: 0.9645390070921985')
({'physician-fee-freeze: yes', 'education-spending: yes'}, {'Class Name: republican'}, 'confidence: 0.950354609929078')
({'Class Name: republican', 'education-spending: yes'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9925925925925926')
({'physician-fee-freeze: yes', 'superfund-right-to-sue: yes'}, {'crime: yes'}, 'confidence: 0.9586206896551724')
({'physician-fee-freeze: yes', 'superfund-right-to-sue: yes'}, {'Class Name: republican'}, 'confidence: 0.9310344827586207')
({'Class Name: republican', 'superfund-right-to-sue: yes'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9926470588235294')
({'physician-fee-freeze: yes', 'crime: yes'}, {'Class Name: republican'}, 'confidence: 0.9226190476190477')
({'Class Name: republican', 'physician-fee-freeze: yes'}, {'crime: yes'}, 'confidence: 0.950920245398773')
({'Class Name: republican', 'crime: yes'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9810126582278481')
({'handicapped-infants: no', 'physician-fee-freeze: yes'}, {'crime: yes'}, 'confidence: 0.9436619718309859')
({'physician-fee-freeze: yes', 'adoption-of-the-budget-resolution: no'}, {'crime: yes'}, 'confidence: 0.9452054794520548')
({'aid-to-nicaraguan-contras: no', 'physician-fee-freeze: yes'}, {'crime: yes'}, 'confidence: 0.965034965034965')
({'mx-missile: no', 'physician-fee-freeze: yes'}, {'crime: yes'}, 'confidence: 0.948051948051948')
({'physician-fee-freeze: yes', 'synfuels-corporation-cutback: no'}, {'crime: yes'}, 'confidence: 0.9637681159420289')
({'duty-free-exports: no', 'physician-fee-freeze: yes'}, {'crime: yes'}, 'confidence: 0.9666666666666667')
({'handicapped-infants: no', 'physician-fee-freeze: yes'}, {'Class Name: republican'}, 'confidence: 0.9295774647887324')
({'handicapped-infants: no', 'Class Name: republican'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9850746268656716')
({'physician-fee-freeze: yes', 'adoption-of-the-budget-resolution: no'}, {'Class Name: republican'}, 'confidence: 0.958904109589041')
({'Class Name: republican', 'adoption-of-the-budget-resolution: no'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9859154929577465')
({'aid-to-nicaraguan-contras: no', 'physician-fee-freeze: yes'}, {'Class Name: republican'}, 'confidence: 0.9230769230769231')
({'aid-to-nicaraguan-contras: no', 'Class Name: republican'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9924812030075187')
({'mx-missile: no', 'physician-fee-freeze: yes'}, {'Class Name: republican'}, 'confidence: 0.9415584415584416')
({'mx-missile: no', 'Class Name: republican'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9931506849315068')
({'physician-fee-freeze: yes', 'synfuels-corporation-cutback: no'}, {'Class Name: republican'}, 'confidence: 0.9782608695652174')
({'Class Name: republican', 'synfuels-corporation-cutback: no'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9782608695652174')
({'duty-free-exports: no', 'physician-fee-freeze: yes'}, {'Class Name: republican'}, 'confidence: 0.9333333333333333')
({'duty-free-exports: no', 'Class Name: republican'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9859154929577465')
({'physician-fee-freeze: yes', 'adoption-of-the-budget-resolution: no'}, {'mx-missile: no'}, 'confidence: 0.9246575342465754')
({'mx-missile: no', 'adoption-of-the-budget-resolution: no'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9246575342465754')
({'aid-to-nicaraguan-contras: no', 'physician-fee-freeze: yes'}, {'mx-missile: no'}, 'confidence: 0.951048951048951')
({'el-salvador-aid: yes', 'education-spending: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9463087248322147')
({'el-salvador-aid: yes', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9411764705882353')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, {'crime: yes'}, 'confidence: 0.9137055837563451')
({'el-salvador-aid: yes', 'crime: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9278350515463918')
({'el-salvador-aid: yes', 'Class Name: republican'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9235668789808917')
({'religious-groups-in-schools: yes', 'Class Name: republican'}, {'el-salvador-aid: yes'}, 'confidence: 0.9731543624161074')
({'handicapped-infants: no', 'el-salvador-aid: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9363057324840764')
({'el-salvador-aid: yes', 'adoption-of-the-budget-resolution: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9281045751633987')
({'religious-groups-in-schools: yes', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9403973509933775')
({'el-salvador-aid: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9629629629629629')
({'religious-groups-in-schools: yes', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9230769230769231')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.936046511627907')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9698795180722891')
({'el-salvador-aid: yes', 'mx-missile: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9456521739130435')
({'religious-groups-in-schools: yes', 'mx-missile: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.925531914893617')
({'el-salvador-aid: yes', 'synfuels-corporation-cutback: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9172413793103448')
({'duty-free-exports: no', 'el-salvador-aid: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9415204678362573')
({'superfund-right-to-sue: yes', 'education-spending: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9424460431654677')
({'el-salvador-aid: yes', 'education-spending: yes'}, {'crime: yes'}, 'confidence: 0.9664429530201343')
({'crime: yes', 'education-spending: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9113924050632911')
({'Class Name: republican', 'education-spending: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9703703703703703')
({'el-salvador-aid: yes', 'education-spending: yes'}, {'mx-missile: no'}, 'confidence: 0.9194630872483222')
({'mx-missile: no', 'education-spending: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9716312056737588')
({'duty-free-exports: no', 'education-spending: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9097222222222222')
({'el-salvador-aid: yes', 'superfund-right-to-sue: yes'}, {'crime: yes'}, 'confidence: 0.9529411764705882')
({'crime: yes', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9152542372881356')
({'Class Name: republican', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9705882352941176')
({'superfund-right-to-sue: yes', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9387755102040817')
({'aid-to-nicaraguan-contras: no', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9798657718120806')
({'mx-missile: no', 'superfund-right-to-sue: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9551282051282052')
({'el-salvador-aid: yes', 'Class Name: republican'}, {'crime: yes'}, 'confidence: 0.9490445859872612')
